Source:,C:\Users\Roosebelt\Desktop\proyecto\proyecto\proyecto.kicad_sch,,,,,,
Date:,26/06/2025  20:23:47,,,,,,
Tool:,Eeschema (7.0.0),,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,21,,,,,,
,,,,,,,
Collated Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP
1,1,AE1,Antenna,Device:Antenna,RF_Antenna:Texas_SWRA117D_2.4GHz_Right,~,
2,1,C1,10n,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,
3,1,C2,33n,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,
4,1,C3,1n,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,
5,2,"C4, C5",22p,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,
6,2,"C6, C8",C_Small,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,
7,1,C7,1p5,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,
8,1,C9,1p,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,
9,2,"C10, C11",Cx,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,
10,1,J1,Conn_01x08_Pin,Connector:Conn_01x08_Pin,Connector_Hirose:Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical,~,
11,1,L1,8n2,Device:L,Inductor_SMD:L_0402_1005Metric,~,
12,1,L2,2n7,Device:L,Inductor_SMD:L_0402_1005Metric,~,
13,1,L3,3n9,Device:L,Inductor_SMD:L_0402_1005Metric,~,
14,1,L4,Lx,Device:L,Inductor_SMD:L_0402_1005Metric,~,
15,1,R1,22k,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,~,
16,1,R2,10M,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,~,
17,1,U1,NRF24L01,RF:NRF24L01,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf,
18,1,Y1,16MHz,Device:Crystal,Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm,~,
